consumer_muni,consumer_industry,consumer_cell,s_foreign_
175,s18,175s18,0.0647990861664718
175,s19,175s19,
175,s20,175s20,0.0611238765160178
175,s21,175s21,0.0579207136132957
175,s22,175s22,0.0871073209387586
175,s23,175s23,0.0368701842833652
175,s24,175s24,0.0766459068899393
175,s25,175s25,0.123468813291191
175,s26,175s26,0.0902787849454603
175,s27,175s27,0.0676842236237228
175,s28,175s28,0.0573680645411548
183,s01,183s01,0.1005539565546763
183,s02,183s02,0.0812506039034144
183,s03,183s03,0.0851145822321682
183,s04,183s04,0.0791988444083581
183,s05,183s05,0.0656019340378686
183,s06,183s06,0.0817350202793313
183,s07,183s07,0.0541691636259266
183,s08,183s08,0.0421887716178674
183,s09,183s09,0.0723961616442209
183,s10,183s10,0.0475548745082238
183,s11,183s11,0.0756966495934869
183,s12,183s12,0.0776152445454587
183,s13,183s13,0.090898201296127
183,s14,183s14,0.0874143687658057
183,s15,183s15,0.0899444007274767
183,s16,183s16,0.086405375701897
183,s17,183s17,0.0733805478172307
183,s18,183s18,0.0616315343920304
183,s19,183s19,
183,s20,183s20,0.0579563247415764
183,s21,183s21,
183,s22,183s22,0.0839397691643173
183,s23,183s23,0.0337026325089237
183,s24,183s24,0.0734783551154978
183,s25,183s25,0.1203012615167496
183,s26,183s26,0.0871112331710189
183,s27,183s27,0.0645166718492814
183,s28,183s28,0.0542005127667134
