consumer_muni,consumer_industry,consumer_cell,flow,value
840,s21,r840_s21,Consumer other transfers paid,108457.26491496102
840,s22,r840_s22,Consumer other transfers paid,15992516.699278248
840,s23,r840_s23,Consumer other transfers paid,48431098.6602116
840,s24,r840_s24,Consumer other transfers paid,24254988.33552671
840,s25,r840_s25,Consumer other transfers paid,1626858.9737244158
840,s26,r840_s26,Consumer other transfers paid,13350103.335895684
840,s27,r840_s27,Consumer other transfers paid,7108880.727607764
840,s28,r840_s28,Consumer other transfers paid,4959454.932020456
840,s01,r840_s01,Consumer other transfers received,2484443.520525854
840,s02,r840_s02,Consumer other transfers received,1552777.2003286576
840,s03,r840_s03,Consumer other transfers received,3140060.560664622
840,s04,r840_s04,Consumer other transfers received,11818359.80250143
840,s05,r840_s05,Consumer other transfers received,2864011.280606193
840,s06,r840_s06,Consumer other transfers received,1086944.0402300593
840,s07,r840_s07,Consumer other transfers received,172530.80003651677
840,s08,r840_s08,Consumer other transfers received,1043811.3402209298
840,s09,r840_s09,Consumer other transfers received,1501017.9603177025
840,s10,r840_s10,Consumer other transfers received,1293981.0002738808
840,s11,r840_s11,Consumer other transfers received,2009983.82042543
840,s12,r840_s12,Consumer other transfers received,11550937.062444814
840,s13,r840_s13,Consumer other transfers received,5805661.421228737
840,s14,r840_s14,Consumer other transfers received,3907822.620827127
840,s15,r840_s15,Consumer other transfers received,18650579.483947504
840,s16,r840_s16,Consumer other transfers received,7651740.981619379
840,s17,r840_s17,Consumer other transfers received,4132112.6608746
840,s18,r840_s18,Consumer other transfers received,2587962.000547765
840,s19,r840_s19,Consumer other transfers received,7099642.421502551
840,s20,r840_s20,Consumer other transfers received,1552777.2003286576
840,s21,r840_s21,Consumer other transfers received,94891.94002008422
840,s22,r840_s22,Consumer other transfers received,13992247.882961674
840,s23,r840_s23,Consumer other transfers received,42373564.48896488
840,s24,r840_s24,Consumer other transfers received,21221288.404491205
840,s25,r840_s25,Consumer other transfers received,1423379.1003012692
840,s26,r840_s26,Consumer other transfers received,11680335.162472207
840,s27,r840_s27,Consumer other transfers received,6219735.341316357
840,s28,r840_s28,Consumer other transfers received,4339149.620918414
840,s01,r840_s01,Consumer pension investment income,2372322.752909436
840,s02,r840_s02,Consumer pension investment income,3873564.341040616
840,s03,r840_s03,Consumer pension investment income,5810615.509752506
840,s04,r840_s04,Consumer pension investment income,33703772.10500022
840,s05,r840_s05,Consumer pension investment income,6889601.419479292
840,s06,r840_s06,Consumer pension investment income,1797039.7138873222
840,s07,r840_s07,Consumer pension investment income,859287.7731127953
840,s08,r840_s08,Consumer pension investment income,4507186.776128541
840,s09,r840_s09,Consumer pension investment income,6828103.724161832
840,s10,r840_s10,Consumer pension investment income,4957981.108856618
840,s11,r840_s11,Consumer pension investment income,3447221.392907292
840,s12,r840_s12,Consumer pension investment income,36047081.7749319
840,s13,r840_s13,Consumer pension investment income,27078979.267843563
840,s14,r840_s14,Consumer pension investment income,8210475.712729528
840,s15,r840_s15,Consumer pension investment income,66135298.578285374
840,s16,r840_s16,Consumer pension investment income,28105158.4782015
840,s17,r840_s17,Consumer pension investment income,20452634.756947108
840,s18,r840_s18,Consumer pension investment income,6599580.543338408
840,s19,r840_s19,Consumer pension investment income,12498139.727042733
840,s20,r840_s20,Consumer pension investment income,5320197.643218115
840,s21,r840_s21,Consumer pension investment income,575431.2635377379
840,s22,r840_s22,Consumer pension investment income,10985362.42447095
840,s23,r840_s23,Consumer pension investment income,18208536.228607893
840,s24,r840_s24,Consumer pension investment income,62724873.683441095
840,s25,r840_s25,Consumer pension investment income,111330.03609753068
840,s26,r840_s26,Consumer pension investment income,47665302.31895866
840,s27,r840_s27,Consumer pension investment income,21416044.61684948
840,s28,r840_s28,Consumer pension investment income,965616.196093866
840,s01,r840_s01,Consumer product taxes paid (predicted),0.0
840,s02,r840_s02,Consumer product taxes paid (predicted),0.0
840,s03,r840_s03,Consumer product taxes paid (predicted),0.0
840,s04,r840_s04,Consumer product taxes paid (predicted),89201303.22972932
840,s05,r840_s05,Consumer product taxes paid (predicted),1051328.954219086
840,s06,r840_s06,Consumer product taxes paid (predicted),0.0
840,s07,r840_s07,Consumer product taxes paid (predicted),0.0
840,s08,r840_s08,Consumer product taxes paid (predicted),0.0
840,s09,r840_s09,Consumer product taxes paid (predicted),0.0
840,s10,r840_s10,Consumer product taxes paid (predicted),0.0
840,s11,r840_s11,Consumer product taxes paid (predicted),0.0
840,s12,r840_s12,Consumer product taxes paid (predicted),58219223.40957625
840,s13,r840_s13,Consumer product taxes paid (predicted),53910313.38406605
840,s14,r840_s14,Consumer product taxes paid (predicted),11047853.51783517
840,s15,r840_s15,Consumer product taxes paid (predicted),107376540.61876
840,s16,r840_s16,Consumer product taxes paid (predicted),54894651.0524334
840,s17,r840_s17,Consumer product taxes paid (predicted),27160759.73738237
840,s18,r840_s18,Consumer product taxes paid (predicted),0.0
840,s19,r840_s19,Consumer product taxes paid (predicted),0.0
840,s20,r840_s20,Consumer product taxes paid (predicted),0.0
840,s21,r840_s21,Consumer product taxes paid (predicted),0.0
840,s22,r840_s22,Consumer product taxes paid (predicted),128416800.7399334
840,s23,r840_s23,Consumer product taxes paid (predicted),306354794.449117
840,s24,r840_s24,Consumer product taxes paid (predicted),168424592.7603416
840,s25,r840_s25,Consumer product taxes paid (predicted),0.0
840,s26,r840_s26,Consumer product taxes paid (predicted),69436682.2781987
840,s27,r840_s27,Consumer product taxes paid (predicted),39087660.63023951
840,s28,r840_s28,Consumer product taxes paid (predicted),10119307.08177012
