prod_sector,value,var_name,prod_muni_name
21,316506875.34417623,Producer exports,Brøndby
24,3695811.0,Producer exports,Brøndby
26,2254849.25,Producer exports,Brøndby
27,3395012.0,Producer exports,Brøndby
77,0.0,Producer exports,Brøndby
88,0.0,Producer exports,Brøndby
99,0.0,Producer exports,Brøndby
01,29063835.999999993,Producer imports,Brøndby
02,632247615.9999998,Producer imports,Brøndby
03,722843391.9999998,Producer imports,Brøndby
04,707013760.0000008,Producer imports,Brøndby
05,20009976.415698912,Producer imports,Brøndby
06,43065704.00000002,Producer imports,Brøndby
07,0.0,Producer imports,Brøndby
08,38423220.00000001,Producer imports,Brøndby
09,42385876.0,Producer imports,Brøndby
10,23082302.0,Producer imports,Brøndby
11,173073984.0,Producer imports,Brøndby
12,1016071487.9999996,Producer imports,Brøndby
13,245735344.00000012,Producer imports,Brøndby
14,53719875.999999955,Producer imports,Brøndby
15,878043008.0000004,Producer imports,Brøndby
16,1463422975.999999,Producer imports,Brøndby
17,41056932.000000015,Producer imports,Brøndby
18,12213390.000000007,Producer imports,Brøndby
19,2527534.2499999995,Producer imports,Brøndby
20,185720960.0000001,Producer imports,Brøndby
21,279056244.5820266,Producer imports,Brøndby
24,79711440.0,Producer imports,Brøndby
26,27163588.000000007,Producer imports,Brøndby
27,20729444.000000022,Producer imports,Brøndby
77,67875.43749999965,Producer imports,Brøndby
88,306353.81250000134,Producer imports,Brøndby
99,1514352.6249999956,Producer imports,Brøndby
01,4809365.045008566,Producer product taxes paid,Brøndby
02,326087932.9081941,Producer product taxes paid,Brøndby
03,7559511.223615522,Producer product taxes paid,Brøndby
04,162516110.82953903,Producer product taxes paid,Brøndby
05,7680020.519289183,Producer product taxes paid,Brøndby
06,2357859.7112617977,Producer product taxes paid,Brøndby
07,0.0,Producer product taxes paid,Brøndby
08,0.0,Producer product taxes paid,Brøndby
09,862987.9774877462,Producer product taxes paid,Brøndby
10,2692357.644023993,Producer product taxes paid,Brøndby
11,5639849.561146889,Producer product taxes paid,Brøndby
