value,var_name,cust_sector,cust_muni_name
1802534.580663832,Consumer interest received,08,Frederiksberg
1163687.0465713895,Consumer interest received,09,Frederiksberg
337165.4874637479,Consumer interest received,10,Frederiksberg
1030346.0017546056,Consumer interest received,11,Frederiksberg
1548123.959753111,Consumer interest received,12,Frederiksberg
8482830.00570125,Consumer interest received,13,Frederiksberg
1153088.3844567495,Consumer interest received,14,Frederiksberg
3316353.344160708,Consumer interest received,15,Frederiksberg
3177727.211673054,Consumer interest received,16,Frederiksberg
9439614.45555478,Consumer interest received,17,Frederiksberg
4897328.092154029,Consumer interest received,18,Frederiksberg
232469.47538923577,Consumer interest received,19,Frederiksberg
219238.1606797457,Consumer interest received,20,Frederiksberg
789583.7102565569,Consumer interest received,21,Frederiksberg
9963574.834570276,Consumer interest received,22,Frederiksberg
66314382.356284246,Consumer interest received,23,Frederiksberg
7460578.20394447,Consumer interest received,24,Frederiksberg
542119.1141362151,Consumer interest received,25,Frederiksberg
8658992.209270766,Consumer interest received,26,Frederiksberg
7023345.805001323,Consumer interest received,27,Frederiksberg
